batch_id|batch_number|rows_migrated|total_migrated|finished|duration_ms
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|69|250|17250|f|373
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|70|250|17500|f|348
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|71|250|17750|f|379
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|72|250|18000|f|378
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|73|250|18250|f|340
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|74|250|18500|f|365
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|75|250|18750|f|432
progress|batch=75|rows=18750
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|76|250|19000|f|347
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|77|250|19250|f|450
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|78|250|19500|f|344
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|79|250|19750|f|386
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|80|250|20000|f|401
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|81|250|20250|f|350
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|82|250|20500|f|361
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|83|250|20750|f|508
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|84|250|21000|f|399
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|85|250|21250|f|367
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|86|250|21500|f|351
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|87|250|21750|f|346
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|88|250|22000|f|341
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|89|250|22250|f|343
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|90|250|22500|f|372
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|91|250|22750|f|355
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|92|250|23000|f|379
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|93|250|23250|f|416
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|94|250|23500|f|324
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|95|250|23750|f|379
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|96|250|24000|f|341
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|97|250|24250|f|507
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|98|250|24500|f|422
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|99|250|24750|f|366
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|100|250|25000|f|312
progress|batch=100|rows=25000
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|101|250|25250|f|314
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|102|250|25500|f|355
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|103|250|25750|f|326
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|104|250|26000|f|345
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|105|250|26250|f|374
4d9b150c-2218-41e1-9a8e-104b5ee7e30e|106|250|26500|f|301
